group_scope,group_value,metric,count,min,max,mean,median,std,p10,p25,p50,p75,p90,p95,p99
by_calibration_type,calibration_type=neutral_news,IP_abs_context,34,0.0,0.30722879999999997,0.015021694117647059,0.0,0.0562116439751689,0.0,0.0,0.0,0.0,0.0,0.10122808,0.24000120000000033
by_calibration_type,calibration_type=opinion_editorial,IDI_raw,13,0.0,0.034483,0.004636769230769231,0.0,0.009807746696078458,0.0,0.0,0.0,0.0,0.014114000000000003,0.022748199999999972,0.03213603999999998
by_calibration_type,calibration_type=opinion_editorial,EMI_raw,13,0.0,0.002506,0.00019276923076923076,0.0,0.0006677722036565548,0.0,0.0,0.0,0.0,0.0,0.0010023999999999964,0.0022052799999999974
by_calibration_type,calibration_type=opinion_editorial,MTI_raw,13,0.0,0.02381,0.004190846153846154,0.0,0.007278593882022014,0.0,0.0,0.0,0.007519,0.013721600000000006,0.018615199999999988,0.022771039999999992
by_calibration_type,calibration_type=opinion_editorial,EVI_raw,13,0.0,3.0,0.6153846153846154,0.0,0.923076923076923,0.0,0.0,0.0,1.0,1.8000000000000007,2.3999999999999986,2.879999999999999
by_calibration_type,calibration_type=opinion_editorial,EVI_norm,13,0.0,0.3,0.061538461538461535,0.0,0.0923076923076923,0.0,0.0,0.0,0.1,0.18000000000000008,0.23999999999999985,0.28799999999999987
by_calibration_type,calibration_type=opinion_editorial,IP_context,13,0.0,0.3,0.061880830769230774,0.0,0.092454966984834,0.0,0.0,0.0,0.1010025,0.18068966000000009,0.23999999999999985,0.28799999999999987
by_calibration_type,calibration_type=opinion_editorial,IP_abs_context,13,0.0,0.3,0.061880830769230774,0.0,0.092454966984834,0.0,0.0,0.0,0.1010025,0.18068966000000009,0.23999999999999985,0.28799999999999987
by_calibration_type,calibration_type=propaganda_like_text,IDI_raw,4,0.0,0.022727,0.00729475,0.003226,0.009291008055507219,0.0,0.0,0.003226,0.01052075,0.017844500000000003,0.020285749999999995,0.022238749999999998
by_calibration_type,calibration_type=propaganda_like_text,EMI_raw,4,0.0,0.010417,0.00475475,0.004301,0.004797856363783726,0.0,0.0,0.004301,0.00905575,0.0098725,0.01014475,0.010362549999999998
by_calibration_type,calibration_type=propaganda_like_text,MTI_raw,4,0.0,0.016393,0.00571125,0.003226,0.006706065291025729,0.0,0.0,0.003226,0.00893725,0.013410700000000003,0.014901849999999998,0.016094769999999998
by_calibration_type,calibration_type=propaganda_like_text,EVI_raw,4,-6.0,0.0,-2.5,-2.0,2.598076211353316,-5.4,-4.5,-2.0,0.0,0.0,0.0,0.0
by_calibration_type,calibration_type=propaganda_like_text,EVI_norm,4,-0.6,0.0,-0.25,-0.2,0.2598076211353316,-0.54,-0.45,-0.2,0.0,0.0,0.0,0.0
by_calibration_type,calibration_type=propaganda_like_text,IP_context,4,-0.6129036,0.0,-0.2542676,-0.2020834,0.26476101274364394,-0.55028256,-0.456351,-0.2020834,0.0,0.0,0.0,0.0
by_calibration_type,calibration_type=propaganda_like_text,IP_abs_context,4,0.0,0.6129036,0.2542676,0.2020834,0.26476101274364394,0.0,0.0,0.2020834,0.456351,0.5502825600000001,0.5815930799999999,0.606641496
by_calibration_type,calibration_type=standard_political_news,IDI_raw,27,0.0,0.011236,0.00041614814814814813,0.0,0.0021219475279529087,0.0,0.0,0.0,0.0,0.0,0.0,0.008314639999999983
by_calibration_type,calibration_type=standard_political_news,EMI_raw,27,0.0,0.009259,0.0006635925925925927,0.0,0.00234757918273365,0.0,0.0,0.0,0.0,0.0,0.006060599999999994,0.00910274
by_calibration_type,calibration_type=standard_political_news,MTI_raw,27,0.0,0.016393,0.0023395555555555557,0.0,0.005252581709719893,0.0,0.0,0.0,0.0,0.013347800000000002,0.015104199999999998,0.01619332
by_calibration_type,calibration_type=standard_political_news,EVI_raw,27,-3.0,3.0,0.5555555555555556,0.0,1.3698697784375502,0.0,0.0,0.0,1.5,3.0,3.0,3.0
by_calibration_type,calibration_type=standard_political_news,EVI_norm,27,-0.3,0.3,0.055555555555555546,0.0,0.13698697784375502,0.0,0.0,0.0,0.15000000000000002,0.3,0.3,0.3
by_calibration_type,calibration_type=standard_political_news,IP_context,27,-0.3025974,0.30694439999999995,0.055700725925925926,0.0,0.13771902426406588,0.0,0.0,0.0,0.15000000000000002,0.3,0.3,0.30513885599999996
by_calibration_type,calibration_type=standard_political_news,IP_abs_context,27,0.0,0.30694439999999995,0.08555441481481482,0.0,0.12144769499095515,0.0,0.0,0.0,0.2,0.3,0.30181818,0.30581417999999994
by_expected_indicator_focus,expected_indicator_focus=EMI,IDI_raw,25,0.0,0.023077,0.0009230800000000001,0.0,0.004522149983536594,0.0,0.0,0.0,0.0,0.0,0.0,0.017538519999999953
by_expected_indicator_focus,expected_indicator_focus=EMI,EMI_raw,25,0.0,0.003693,0.0002866,0.0,0.0009724102837794342,0.0,0.0,0.0,0.0,0.0,0.00277759999999999,0.0036399599999999994
by_expected_indicator_focus,expected_indicator_focus=EMI,MTI_raw,25,0.0,0.076923,0.005873079999999999,0.0,0.016192590332420567,0.0,0.0,0.0,0.0,0.018398800000000007,0.026938399999999977,0.06531851999999991
by_expected_indicator_focus,expected_indicator_focus=EMI,EVI_raw,25,-2.0,4.0,0.2,0.0,0.9797958971132712,0.0,0.0,0.0,0.0,0.6000000000000014,1.7999999999999972,3.519999999999996
by_expected_indicator_focus,expected_indicator_focus=EMI,EVI_norm,25,-0.2,0.4,0.020000000000000004,0.0,0.09797958971132714,0.0,0.0,0.0,0.0,0.060000000000000143,0.17999999999999972,0.35199999999999965
by_expected_indicator_focus,expected_indicator_focus=EMI,IP_context,25,-0.20184660000000001,0.41142839999999997,0.020690967999999997,0.0,0.10048852817241466,0.0,0.0,0.0,0.0,0.060000000000000143,0.1861539199999997,0.3625317599999996
by_expected_indicator_focus,expected_indicator_focus=EMI,IP_abs_context,25,0.0,0.41142839999999997,0.036838696,0.0,0.09575474363212917,0.0,0.0,0.0,0.0,0.16110796000000016,0.20652324,0.3625317599999996
by_expected_indicator_focus,expected_indicator_focus=IDI,IDI_raw,49,0.0,0.018868,0.001878612244897959,0.0,0.0051681145017024544,0.0,0.0,0.0,0.0,0.009874800000000015,0.0156778,0.018868
by_expected_indicator_focus,expected_indicator_focus=IDI,EMI_raw,49,0.0,0.044444,0.0042971836734693875,0.0,0.008991620924161288,0.0,0.0,0.0,0.005128,0.0133874,0.02359419999999993,0.03743935999999994
by_expected_indicator_focus,expected_indicator_focus=IDI,MTI_raw,49,0.0,0.078947,0.009609979591836735,0.0,0.016492367014297172,0.0,0.0,0.0,0.015873,0.023256,0.047579199999999926,0.0669983599999999
by_expected_indicator_focus,expected_indicator_focus=IDI,EVI_raw,49,-5.0,4.0,0.24489795918367346,0.0,1.900919350562452,-2.1999999999999993,0.0,0.0,1.0,3.0,3.0,4.0
by_expected_indicator_focus,expected_indicator_focus=IDI,EVI_norm,49,-0.5,0.4,0.024489795918367346,0.0,0.19009193505624516,-0.21999999999999995,0.0,0.0,0.1,0.3,0.3,0.4
by_expected_indicator_focus,expected_indicator_focus=IDI,IP_context,49,-0.5157235,0.4,0.024111108163265303,0.0,0.19403477672472483,-0.22172109999999992,0.0,0.0,0.1,0.30318054,0.3119999399999999,0.4
by_expected_indicator_focus,expected_indicator_focus=IDI,IP_abs_context,49,0.0,0.5157235,0.12058554081632653,0.0,0.1539154555641133,0.0,0.0,0.0,0.3,0.31386653999999997,0.4,0.5157235
by_expected_indicator_focus,expected_indicator_focus=IP,IDI_raw,4,0.0,0.022727,0.00729475,0.003226,0.009291008055507219,0.0,0.0,0.003226,0.01052075,0.017844500000000003,0.020285749999999995,0.022238749999999998
